id,name,address,price_per_hour,ot,ct,tel,photo,parking,smoking,projector,wifi,printer,consent,payment,place,created_at,updated_at
1,윙스터디,서울특별시 서초구 서초대로73길 7 우송빌딩 지하?2층,1400,9:00,23:00,02-536-0333,,O,X,O,O,O,O,web,연중무휴,,
2,ENI스터디룸,서울특별시 강남구 강남대로94길 9,1500,9:00,23:00,02-555-5284,,O,X,O,O,X,O,store,일휴무,,
3,강남일등공간,"서울특별시 강남구 테헤란로16길 13 동원빌딩 102, 103호",2000,8:00,24:00:00,010-7259-7730,,O,X,O,O,X,O,web,연중무휴,,
4,슈퍼스타트강남,서울특별시 강남구 테헤란로 101?이즈타워 지하 3층 슈퍼스타트,1500,8:00,23:00,02-566-8047,,O,X,O,O,X,O,store,연중무휴,,
5,더스페이스몰입,서울특별시 서초구 서운로 164?지하1층,1000,9:00,12:00,02-536-3850,,O,X,O,O,X,O,web,연중무휴,,
6,SG강남역스터디룸,서울특별시 서초구 서초대로78길 38?호정빌딩 7층,1000,8:00,22:00,02-584-7845,,O,X,O,O,O,O,store,연중무휴,,
7,모임플러스,서울특별시 서초구 사임당로 173?모임플러스,1000,9:00,23:00,02-587-5277,,O,X,O,O,O,O,store,연중무휴,,
8,꿈틀 스터디룸,강남구 역삼동 649-2 지하2층 꿈틀,1000,9:00,22:00,02-556-0719,,O,X,O,O,O,O,store,연중무휴,,
9,위플레이스 강남,서울특별시 강남구 역삼로3길 13?건암빌딩 101호,1000,8:00,23:00,02-538-5368,,O,X,O,O,O,O,store,연중무휴,,
10,굿브라더스페이스,서울특별시 강남구 역삼동 635-5?1층 굿브라더스페이스,2000,9:00,23:00,02-553-8831,,O,X,O,O,X,O,web,연중무휴,,
11,스타스터디,서울특별시 강남구 역삼동 819-2?3층 스타스터디,1000,9:00,22:00,070-4353-5477,,X,X,O,O,O,O,store,공휴일휴무,,
12,ENI강남2호점,서울특별시 서초구 서초동 1308?(강남대로 4길 9) 3층,1200,10:00,22:00,02-555-5423,,O,X,O,O,O,O,store,연중무휴,,
13,모임공간 M2,서울특별시 서초구 사평대로56길 7?한일유앤아이상가 213호,1800,9:00,22:00,02-533-0400,,O,X,O,O,O,O,store,일휴무,,
14,케이스터디카페,서울특별시 서초구 서초대로77길 25?경일빌딩 5층,2000,8:00,22:00,02-3481-8771,,O,O,O,O,O,O,web,연중무휴,,
15,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,
